sample,target_poly,target_coeff,s00,sij,y00,w00,z00,yij,wij,zij,ratio
1229,1,1,1,0,-6,4,-2,-5,1,-4,2
1230,1,1,1,0,25,2,27,29,5,34,1.25926
1231,1,1,1,0,13,-1,12,9,-5,4,0.333333
1232,1,1,1,0,13,-1,12,-5,-7,-12,-1
1233,1,1,1,0,-3,-2,-5,11,2,13,-2.6
1234,1,1,1,0,-2,-6,-8,13,0,13,-1.625
1235,1,1,1,0,7,-3,4,-1,1,0,0
1236,1,1,1,0,19,1,20,-10,-3,-13,-0.65
1237,1,1,1,0,-22,1,-21,28,0,28,-1.33333
1238,1,1,1,0,12,-2,10,-15,-9,-24,-2.4
1239,1,1,1,0,-35,1,-34,-8,-8,-16,0.470588
1240,1,1,1,0,12,-1,11,14,-7,7,0.636364
1241,1,1,1,0,-4,3,-1,-11,-5,-16,16
1242,1,1,1,0,27,-1,26,-16,-5,-21,-0.807692
1243,1,1,1,0,8,5,13,-10,-4,-14,-1.07692
1244,1,1,1,0,8,-3,5,-5,4,-1,-0.2
1245,1,1,1,0,-2,-1,-3,-17,2,-15,5
1246,1,1,1,0,-7,-3,-10,-17,2,-15,1.5
1247,1,1,1,0,-9,-3,-12,-8,-8,-16,1.33333
1248,1,1,1,0,8,2,10,-22,2,-20,-2
1249,1,1,1,0,3,3,6,-6,-8,-14,-2.33333
1250,1,1,1,0,0,2,2,32,-2,30,15
1251,1,1,1,0,6,3,9,9,-1,8,0.888889
